company_name,linkedin_url,description,fleet_size,country
Aero Ways,https://linkedin.com/company/aerowise,What We Do: ✔️Tailored international trip support services ✔️Aviation procurement ✔️Aircraft Charter Broker ✔️Ground handling services ✔️Overflight and landing ...,6,Porto Rico
Aero-Beta Flight Training,https://linkedin.com/company/flugbetrieb-aero-beta,Insgesamt besteht unser Team aus mehr als 100 Fluglehrern an allen vier Standorten. Diese begleiten und unterstützen Sie bei Ihrer Ausbildung und geben ihre ...,12,Allemagne
Aero-Dienst,https://linkedin.com/company/aero-dienst/,"With a 65-year track record in maintaining, operating, selling and managing a wide range of business and ambulance aircraft, Aero-Dienst is considered one of ...",5,Allemagne
Aero-Tech Services,https://linkedin.com/company/aero-tech-services-inc-,"Aero-Tech Services, Inc. is a “Learn-to-Fly” Part 141 flight school, air charter, and airplane maintenance center located at the Lancaster, Pennsylvania (KLNS) ...",4,Porto Rico
Aeroclub Barcelona-Sabadell,https://linkedin.com/company/aeroclub-barcelona-sabadell,"With more than 1000 members, and founded in 1953, the Aeroclub Barcelona-Sabadell is the largest flying club in Spain and the second in Europe.",14,Espagne
Aerodynamics Academy,https://linkedin.com/company/aerodynamicsacademy,"Aerodynamics Academy es, desde su creación en 1998, una de las principales Escuelas de Formación Aeronáutica Oficial del sur de España.",17,Espagne
Aeroflot,https://linkedin.com/company/aeroflot---russian-airlines/,"Aeroflot is Russia's de facto National carrier and largest Airline. Founded on March 17, 1923, Aeroflot is among the world's oldest airlines and one of Russia's ...",169,Russie
AeroGuard Flight Training Center,https://linkedin.com/company/aeroguard-flight-training-center,"AeroGuard Flight Training Center is THE Commercial Pilot School, training and preparing future commercial airline pilots for careers at the world's leading ...",113,Porto Rico
Aeroitalia,https://linkedin.com/company/aeroitalia/,"Locations · Primary. Viale Cesare Pavese, 8. Rome, 00144, IT. Get directions · Aeroporto Roma Fiumicino ""Leonardo Da Vinci"". Fiumicino , Italia 00054, IT. Get ...",13,Grèce
Aerolineas Argentinas,https://linkedin.com/company/aerolineas-argentinas,Aerolíneas Argentinas es la compañía líder en el mercado aerocomercial argentino y referente en la región desde 1950. Su flota de 84 aviones alcanza 38 destinos ...,84,Argentine
Aerolineas Ejecutivas,https://linkedin.com/company/aerolineas-ejecutivas,"Con una distinguida trayectoria de 55 años, Aerolíneas Ejecutivas ha alcanzado reconocimiento internacional al fungir como representante exclusivo en México de ...",26,Mexique
Aerolineas Sosa,https://linkedin.com/company/aerol%C3%ADneas-sosa,Website: http://www.aerolineasosahn.com/. External link for Aerolíneas Sosa. Locations. Get directions. Employees at Aerolíneas Sosa.,4,Honduras
AeroLogic,https://linkedin.com/company/aerologic,"Established in September 2007, AeroLogic's first plane took off in the summer of 2009 with the fleet eventually comprising 8 brand-new Boeing 777F's. The ...",14,Allemagne
Aeromas,https://linkedin.com/company/aeromas-sas,"Somos una empresa colombiana especializada exclusivamente en el transporte aéreo medicalizado para pacientes adultos, obstétricas, pediátricos y neonatales ...",2,Uruguay
Aeromexico,https://linkedin.com/company/aeromexico,"As a founding member of the SkyTeam airline alliance, Aeromexico offers customers more than 1,000 destinations in 177 countries served by the 20 ...",125,Mexique
Aeromexico Connect,https://linkedin.com/company/aeromexico,"Aeromexico, Mexico's global airline, operates more than 600 daily flights and has its main hub in Terminal 2 of the Mexico City International ...",36,Mexique
Aeronaves TSM,https://linkedin.com/company/tsm-connect-sa-de-cv,"TSM Connect. Transportation, Logistics, Supply Chain and Storage. Zona Centro, Coahuila 259 followers. Follow · Report this company; Close menu.",97,Mexique
Aeropapa,,,1,Espagne
Aeropartner,https://linkedin.com/company/aeropartner,Aeropartner a.s. | 721 followers on LinkedIn. We are well-established air charter company founded in 2001. We dispose of a fleet of fast and cosy bizjet ...,9,République tchèque
Aeropyrenees,https://linkedin.com/company/aero-pyrenees-maintenance,"AERO PYRENEES MAINTENANCE is an aviation & aerospace company based out of Aéroport Tarbes Lourdes Pyrénées, Juillan, France. Website: https://www.",13,France
Aeroregional,https://linkedin.com/company/aeroregional,Página Oficial de Aeroregional Ecuador Somos #TuLíneaAérea ¡YA ESTAMOS VOLANDO! VENTA DE BOLETOS: www.aeroregional.net CALL CENTER: 02 393 0360.,4,Équateur
Aerosafin,https://linkedin.com/company/keyworld-it,"Commercial Director, en AEROSAFIN -… Click here to view Michał Guz's profile. Michał Guz. Junior Java Developer. See all employees. Similar pages. FGM INOX ...",3,Mexique
Aeroservicios de la Costa,https://linkedin.com/company/aerologistica-aviation-services,"Nos especializamos en proporcionar servicios completos de apoyo en tierra para vuelos de pasajeros, ejecutivos y chárter que operan en Costa Rica. Con más de 20 ...",8,Mexique
Aerostan,https://linkedin.com/company/aerostan-aircompany,"AeroStan Air Company is an on-demand non-scheduled air cargo airline, which specializes in operating high-density – high-demand wide-body freighter aircrafts.",3,Kirghizistan
Aerosucre,https://linkedin.com/company/aerosucre,Aerosucre líder en el transporte de carga aérea con más de 53 años de operación en Colombia y algunos países de Latinoamérica. Su sede central opera en Bogotá ...,7,Colombie
Aerotec,https://linkedin.com/company/aerospace-testing-engineering-&-certification-l-l-c-,"AeroTEC develops, tests and certifies new aircraft products using innovative and scalable development, test and certification techniques.",13,Espagne
Aerotours,https://linkedin.com/company/aerotours-gmbh-verkehrspilotenschule,"AEROTOURS GmbH Verkehrspilotenschule is an airlines/aviation company based out of Flugplatzstr. 12, Strausberg, Strausberg, Germany.",3,Allemagne
Aerotranscargo,https://linkedin.com/company/aerotranscargo,"AeroTransCargo (airline code ATG/F5) is a cargo airline holding a Moldovan AOC, with its operational office based in the UAE. It operates five Boeing 747-400s ...",3,Moldavie
Aeroturpial,,,2,Venezuela
Aerovias DAP,https://linkedin.com/company/aerov%C3%ADas-dap,"Aerovías DAP | 3582 seguidores en LinkedIn. La Línea Aérea de la Patagonia y Antártica. Empresa líder en logística, transporte de pasajeros y turismo.",11,Chili
Aerovis Airlines,https://linkedin.com/company/aerovis,"AeroVis offers aviation, cargo transportation around the world. Rental, sale, charter and aircraft management from Europe, Asia, India, to Australia, South and ...",1,Ukraine
Aeroways,https://linkedin.com/company/aeroways-gmbh,"aeroways GmbH | 99 Follower:innen auf LinkedIn. High Class Travelling | Your competent partner for aircraft management, sales and operation.",11,Allemagne
Aerowest,https://linkedin.com/company/aerowest/,"Aerowest GmbH | 491 followers on LinkedIn. HighRes Aerial Images and Geodata | Aerial Imaging, GIS, Digital Mapping, 3D City Models.",13,Allemagne
Aerus,https://linkedin.com/company/aerus,"Aerus has a rich history dating back to 1924 and is known for excellence in our innovative technologies, unmatched service, and endless accomplishments.",7,Mexique
Africa Airlines,https://linkedin.com/company/africa-world-airlines-limited,Africa World Airlines Limited (AWA) is a private-sector Ghanaian airline that operates from a base in Accra. The airline is a joint venture between HNA Group/ ...,2,République du Congo
Africa Charter Airline,https://linkedin.com/company/alexandria-airlines,"It operates scheduled and worldwide charter services flights, mainly to the Middle East, Europe and Africa. It also provides wet lease services to major ...",6,Afrique du Sud
Africa World Airlines,https://linkedin.com/company/africa-world-airlines-limited,Africa World Airlines Limited (AWA) is a private-sector Ghanaian airline that operates from a base in Accra. The airline is a joint venture between HNA ...,8,Ghana
African Express Airways,https://linkedin.com/company/african-express-airways,Sito Web: http://www.africanexpress.net. Link esterno per African Express Airways ; Settore: Linee aeree e aviazione ; Dimensioni dell'azienda: 51-200 dipendenti.,2,Kenya
Afrijet,https://linkedin.com/company/afrijet-business-service,Afrijet Business Service | 14190 followers on LinkedIn. Le Coeur de l'Afrique vous est ouvert | Afrijet aims to be the Central Africa's reference regional ...,5,Gabon
Afriqiyah Airways,https://linkedin.com/company/afriqiyah-airways,Afriqiyah Airways was founded on April 2001. It started its operations on 1st December 2001 with leased Aircrafts. During the Paris Air Show in 2006 ...,9,Libye
Aims Community College Aviation,https://linkedin.com/company/preflight-aviation-camp,"PreFlight is a summer camp for girls that uses aviation to transform their beliefs about gender roles, increase their self-esteem, and inspire them to become ...",18,Porto Rico
Air 1st Aviation,https://linkedin.com/company/first-class-aviation-services,"First Class Aviation Services (FCAS) is a Saudi Owned Maintenance, Repair and Overhaul organisation, with state-of-the art technology, established to serve ...",2,Porto Rico
Air Adelphi,https://linkedin.com/company/adelphi,"adelphi is the leading independent think-and-do tank in Europe for climate, environment and development. We are some 330 strategists, thought leaders and ...",5,Saint-Vincent-et-les-Grenadines
Air Albania,https://linkedin.com/company/air-albania,"Air Albania is the national flag carrier airline of Albania, offering Albanians new destinations, reasonable prices and quality service.",1,Albanie
Air Algerie,https://linkedin.com/company/airalg%C3%A9rie,"Air Algérie is the national airline. Air Algerie has produced an excellent commercial performance, according to the Medium-Term plan, it carries more than five ...",56,Algérie
Air Alliance,https://linkedin.com/company/alliance-air,Компания Allaince air успешно работает на рынке дистрибуции промышленного климатического оборудования с 2013 года. Сотрудники компании имеют опыт в HVAC с ...,8,Allemagne
Air Alsie,https://linkedin.com/company/air-alsie,"Air Alsie A/S provides executive jet services in Scandinavia and internationally. It offers air charter, and aircraft management/advisory and maintenance ...",4,Îles Féroé
Air Antilles,https://linkedin.com/company/air-antilles,Air Antilles | 10124 followers on LinkedIn. Au cœur des iles | French Regional Airline IATA CODE: 3S - CALLSIGN: Greenbird Air Antilles operates scheduled ...,5,Suisse
Air Arabia,https://linkedin.com/company/air-arabia,"Welcome to Air Arabia Group, the leading low-cost carrier in the Middle East and North Africa. Operating from six key hubs—Sharjah, Ras Al Khaimah, Abu Dhabi, ...",77,Émirats arabes unis
Air Astana,https://linkedin.com/company/air-astana,We are a multi-award-winning international airline. Join us to plan your new adventures around the world from and via Almaty and Astana.,34,Irlande
Air Astra,https://linkedin.com/company/airastra/,Air Astra (incorporated as Astra Airways Limited) is a privately-held commercial airline that expects to launch commercial flight operations by Q4 2022.,4,Bangladesh
Air Atlanta Icelandic,https://linkedin.com/company/air-atlanta,"The Air Atlanta brand consists of two sister airlines, “Air Atlanta Icelandic” with headquarters in Iceland and “Air Atlanta Europe” in Malta.",1,Malte
Air Austral,https://linkedin.com/company/air-austral,"AIR AUSTRAL, VOTRE COMPAGNIE PARTENAIRE AU DEPART DE LA REUNION VERS / - L'OCEAN INDIEN DES LIAISONS DIRECTES VERS TOUTES LES ILES DE L'OCEAN INDIEN, COMORES, ...",7,Polynésie française
Air Baltic,https://linkedin.com/company/airbaltic,airBaltic is a strong and internationally respected airline with the main hub in Riga and bases in Tallinn and Vilnius. We currently offer flights to nearly ...,50,Lettonie
Air Bohemia,https://linkedin.com/company/airbohemia,Air Bohemia is a private provider of business air transport. The company was founded in 2012 in the Czech Republic by renaming the former company Aero-taxi OKR ...,4,République tchèque
Air Borealis,https://linkedin.com/company/air-borealis,"Air Borealis is an airline all can take great pride in. With deep respect and connection to the community, the environment, and the people of the North.",9,Canada
Air Botswana,https://linkedin.com/company/air-botswana,"Air Botswana is the country's national airline. The airline operates and maintains a fleet of four aircraft, that includes an Embraer 170 Jet, ATR42-500 and ...",6,Botswana
Air Burkina,https://linkedin.com/company/air-burkina-s-a-,Air Burkina SA Aviation and Aerospace Component Manufacturing Follow Report this company Close menu View all 69 employees About us,3,Burkina Faso
Air Busan,https://linkedin.com/company/airbusan,"AIR BUSAN. Airlines and Aviation. Busan, Gangseo-gu 1,437 followers. New Take-Off 2023. Follow · Report this company; Close menu. View all 95 employees ...",21,Corée du Sud
Air Cairo,https://linkedin.com/company/air-cairo,"Air Cairo is a low fare airline based in Cairo, Egypt. The airline is the low fare subsidiary of Egyptair which operates scheduled flights to middle east, ...",37,Égypte
Air Caledonie,https://linkedin.com/company/air-cal%C3%A9donie,"Air Calédonie est l'unique compagnie aérienne à desservir l'ensemble du réseau domestique de Nouvelle-Calédonie, de façon régulière. Website: http:// ...",4,Polynésie française
Air Cambodia,https://linkedin.com/company/cambodia-airways,"Cambodia Airways Co., Ltd. is a local Cambodian airline based in Phnom Penh. Established in September 2017, the company launched its inaugural flight on July ...",6,Cambodge
Air Canada,https://linkedin.com/company/air-canada,"Canada's largest airline, the country's flag carrier and a founding member of Star Alliance, the world's most comprehensive air ...",319,Canada
Air Canada Rouge,https://linkedin.com/company/air-canada-rouge,"As a team, we know that our purpose is to create wonderful beginnings and endings to our travellers' vacations, which we are committed to do every day, on ...",37,Canada
Air Caraibes,https://linkedin.com/company/air-caraibes,"Air Caraïbes | Haute en couleurs... ✈ Aujourd'hui reconnue comme la compagnie aérienne antillaise spécialiste des Caraïbes et de la Guyane, (code IATA : TX code ...",13,Polynésie française
Air Care Alliance,https://linkedin.com/company/air-care-alliance,The Air Care Alliance is a 501(c)(3) nonprofit public service organization representing a nationwide network of volunteer pilot groups that deliver ...,8,Porto Rico
Air Cargo Carriers,https://linkedin.com/company/air-cargo-carriers,"Air Cargo Carriers provides reliable, scheduled service for the world's largest scheduled freight carriers, as well as full-service, on-demand charters.",30,Porto Rico
Air Central,,,15,Taïwan
Air Century,https://linkedin.com/company/aircentury,Air Century | 4749 followers on LinkedIn. Improving the Experience | Dominican airline with over 30 years of experience serving the greater Caribbean region ...,7,République dominicaine
Air Changan,https://linkedin.com/company/yaning-purification-technology-co.ltd,"main products 1.FFU ,air shower room ,cargo air shower ,HEPA filter ,horizontal clean bench ,pass box ,clean booth medical bench and so on 2.primer ...",14,Taïwan
Air Charter Scotland,https://linkedin.com/company/air-charter-scotland-ltd/,Air Charter Scotland has earned a reputation as one of the safest and most respected private jet operators. We ensure our fleet is maintained to uncompromising ...,10,Territoire britannique de l'océan Indien
Air Charter Scotland Europe,https://linkedin.com/company/air-charter-scotland-europe,Air Charter Scotland has built a reputation as one of the most reliable private jet operators in the UK. We are the preferred private jet operator for some of ...,1,Malte
Air Charters Europe,https://linkedin.com/company/aircharterseurope,Air Charters Europe (ACE) is part of the ASL Group and focuses on customers who want to charter a (private) aircraft for group travel.,4,Pays-Bas
Air Chathams,https://linkedin.com/company/air-chathams-limited,Air Chathams is a 100% privately owned airline started in 1984 by CEO Craig Emeny. The airline built its foundations providing a critical air-link between the ...,16,Nouvelle-Zélande
Air China,https://linkedin.com/company/air-china/,"Air China is China's only national flag carrier and a member carrier of the world's largest airline network - Star Alliance. By Jun 2016, Air China had a ...",507,Taïwan
Air China Cargo,https://linkedin.com/company/air-china-cargo/,"A cargo airline with its headquarters in Shunyi District, Beijing, China t is an all-cargo subsidiary of Air China and operates services to 36 cities in 27 ...",25,Taïwan
Air China Inner Mongolia,https://linkedin.com/company/inner-mongolia-jianlong-biochemical-co--ltd,"Locations. SUITE 701,AIR CHINA PLAZA. NO.96 ZHELIMU ROAD. XINCHENG, XINCHENG 010010, CN. Get directions. Employees at INNER MONGOLIA JIANLONG BIOCHEMICAL CO., ...",9,Taïwan
Air Class,https://linkedin.com/company/air-class,"Air Class, founded in Singapore & the UK in 2014, is a global leading 1-on-1 online education enterprise.",4,Uruguay
Air Corporate,https://linkedin.com/company/air-corporate,Air Corporate is a Hong Kong-based new generation of Corporate Services Provider using a digital-first approach. Air Corporate offers entrepreneurs a ...,14,Italie
Air Corsica,https://linkedin.com/company/air-corsica,"Air Corsica (code IATA : XK ; code OACI : CCM) est une compagnie aérienne française, précédemment appelée Compagnie Corse Méditerranée puis CCM Airlines.",13,France
Air Côte d'Ivoire,https://linkedin.com/company/air-c%C3%B4te-d'ivoire-officiel,"La nouvelle compagnie Air Côte d'Ivoire, créée en mai 2012, a la particularité d'offrir des avantages compétitifs : des vols directs et fréquents, aux horaires ...",12,Côte d'Ivoire
Air Creebec,https://linkedin.com/company/air-creebec,"---- Air Creebec is a regional airline connecting northern and southern communities across Quebec and Ontario. Owned by the Cree Nation since 1988, we provide ...",21,Canada
Air Do,https://linkedin.com/company/aird%C5%8D,"Hakkımızda ; Web Sitesi: http://www.airdo.co. Airdo için harici link ; Sektör: Teknoloji, Bilgi ve İnternet ; Şirket büyüklüğü: 2-10 çalışan ; Türü: Özel Şirket.",13,Japon
Air Dolomiti,https://linkedin.com/company/air-dolomiti/,Benvenuto/a! Air Dolomiti is one of the Italian airline of the Lufthansa Group. Our story began in 1991 when we launched our operations with our first Trieste- ...,26,Italie
Air Dream College,https://linkedin.com/company/air-dream-college/,"About us. Air Dreams College is a new aviation school, in Portugal, that combines the perfect conditions to make your dream come true ... FLY!",10,Portugal
Air Eagle,https://linkedin.com/company/air-eagle,The Company was established in 1991 to airlift cargo on both domestic and international destinations. Air Eagle is a PCAA Charter Class II license company.,1,Pakistan
Air Europa,https://linkedin.com/company/aireuropa,Air Europa es la división aérea de Globalia Corporación. Miembros de la alianza SkyTeam. Nuestra red de vuelos abarca gran parte del territorio nacional español ...,58,Espagne
Air Excel,https://linkedin.com/company/airexcel,"Air Excel was founded in 1997 and to date remains an owner run and operated airline, with over two and a half years of experience in the industry.",1,Tanzanie
Air Falcon,https://linkedin.com/company/air-falcon-pvt-ltd,Air Falcon is a regional carrier with a purpose to provide world-class and affordable services to its customers. Air Falcon is headquartered in Lahore and ...,1,Pakistan
Air Flamenco,https://linkedin.com/company/nature-air-costa-rica-airline,"NatureAir is the world's first Carbon Neutral Airline. Located in San Jose, Costa Rica, the airline serves 15 destinations with 74 daily scheduled flights.",13,Porto Rico
Air France,https://linkedin.com/company/air-france--klm,"Air France-KLM is a major global air transport player. Its main businesses are passenger transportation, cargo transportation and aeronautical maintenance.",279,France
Air Greenland,https://linkedin.com/company/air-greenland,"With destinations all over Greenland and connections from Copenhagen Iceland and Nunavut, we are your Greenlandic airline company. Website: http://airgreenland.",23,Îles Féroé
Air Guilin,https://linkedin.com/company/air-guilin,Air Guilin is a Chinese airline based at Guilin Liangjiang International Airport in Guangxi. A joint venture between the Guilin Municipal Government and HNA ...,9,Taïwan
Air Horizont,https://linkedin.com/company/air-horizont,"Air Horizont was born in 2015, as an airline promoted and run by Aragones. We are a Maltese carrier and our offices are located in Malta and in Spain, ...",6,Malte
Air Incheon,https://linkedin.com/company/airincheon/,"Air Incheon Co., Ltd. is the national cargo airline of South Korea established in 2012, and operates four B737-800SF. Air Incheon has contributed to the ...",6,Corée du Sud
Air India,https://linkedin.com/company/airindia,Air India's dedicated passenger hotline numbers for India 1800 5691 444; for calls outside India +91 8062779200. Air India requests media persons not to contact ...,191,Inde
Air India Express,https://linkedin.com/company/airindiax,"Welcome to the official LinkedIn page of Air India Express, A Tata Enterprise. AIX operates 500+ daily flights with a fleet of over 100 aircraft.",114,Inde
Air Inuit,https://linkedin.com/company/air-inuit,"Air Inuit fournit des services essentiels de transport aérien régulier, nolisé, de cargo et d'urgence au Nunavik et au-delà, 24 heures par jour, ...",36,Canada
Air Japan,https://linkedin.com/company/japan-airlines,"Japan Airlines (JAL), Japan's first private aviation company, was established in 1951 and is a member of the oneworld® Alliance.",2,Japon
Air Key West,https://linkedin.com/company/air-key-west,"Air Key West air charter service provides flights between Key West, Marathon, and the Florida Keys to the US, Cuba, The Bahamas and the Caribbean.",3,Porto Rico
Air Kiribati,https://linkedin.com/company/air-kiribati-limited,"Air Kiribati Ltd (AKL), also a fully-owned Government company, took over the operations in 1995 primarily to provide domestic air services in Kiribati.",5,Kiribati
Air Koryo,https://linkedin.com/company/aviation-o-holic-by-kush,"From EVA Air's kawaii overload to North Korea's Air Koryo and the mysterious Janet Airlines, these carriers prove that air travel can be anything but ordinary.",9,Corée du Nord
Air Liaison,https://linkedin.com/company/air-liaison,Air Liaison was established in 1991 as a specialist airline sales and marketing agency to represent the cargo interest of airlines operating from the UK.,13,Canada
Air Libya,https://linkedin.com/company/air-libya,AIR LIBYA · Airlines and Aviation · About us · Employees at AIR LIBYA · Similar pages · Browse jobs · Sign in to see who you already know at AIR LIBYA · Welcome ...,8,Libye
Air Loyaute,https://linkedin.com/company/air-loyaut%C3%A9-nouvelle-cal%C3%A9donie,Air Loyauté Nouvelle-Calédonie · Airlines and Aviation · About us · Employees at Air Loyauté Nouvelle-Calédonie · Similar pages · Browse jobs · Sign in to see ...,5,Polynésie française
Air Macau,https://linkedin.com/company/air-macau,Air Macau was established on 13 September 1994. Its commercial inauguration was on 09 November 1995. Air Macau is a regional carrier based in Macau.,22,Macao
Air Manas,https://linkedin.com/company/airmanas,Air Manas is one of the dynamically developing airlines of the Kyrgyz Republic and Airbus 220-300 operator and the first in the CIS region has introduced the A ...,1,Kirghizistan
Air Mauritius,https://linkedin.com/company/airmauritius,"Air Mauritius has fully played its role as the national airline of Mauritius, providing air connectivity that has been crucial for the development of the ...",12,Maurice
Air Mediterranean,https://linkedin.com/company/air-mediterranean,"Air Mediterranean is a commercial charter and scheduled airline based in Athens, Greece. Charters & ACMI IATA : MV ICAO : MAR.",2,Grèce
Air Methods,https://linkedin.com/company/air-methods,"Air Methods has a talented workforce of over 4,500 team members, which includes the best in the air medical industry. We are pilots, clinicians, ...",23,Porto Rico
Air Moana,https://linkedin.com/company/airmoana,"Air Moana est une compagnie aérienne inter-îles opérant en Polynésie française depuis février 2023. Au départ et vers Tahiti, Air Moana dessert les îles de : ...",3,Polynésie française
Air Montenegro,https://linkedin.com/company/air-montenegro,"Air Montenegro is a newly established Montenegrin national carrier. In just three and a half months after founding the company, our first commercial flight ...",3,Monténégro
Air Mountain,https://linkedin.com/company/mountain-air-cargo-inc-,MAC operates an express cargo feeder fleet specifically designed for FedEx. Our growing and talented team of pilots and mechanics do an amazing job of ...,2,Suisse
Air New Zealand,https://linkedin.com/company/air-new-zealand,"Air New Zealand is one of the world's leading airlines, known around the world, not just for our name and our innovation but also for our reputation.",113,Nouvelle-Zélande
Air Niugini,https://linkedin.com/company/air-niugini,"Air Niugini, the National Airline of Papua New Guinea, operates a vast domestic network and an international network to Asia, Australia and the Pacific ...",29,Papouasie-Nouvelle-Guinée
